name,chr,start,stop,
cni,2L,16309292,16310726,"{""name"":""cni"",""chr"":""2L"",""start"":16309292,""stop"":16310726},"
comt,X,13259021,13262488,"{""name"":""comt"",""chr"":""X"",""start"":13259021,""stop"":13262488},"
cort,2L,6674682,6676635,"{""name"":""cort"",""chr"":""2L"",""start"":6674682,""stop"":6676635},"
cos,2R,7382176,7387115,"{""name"":""cos"",""chr"":""2R"",""start"":7382176,""stop"":7387115},"
Cp15,3L,8728481,8729066,"{""name"":""Cp15"",""chr"":""3L"",""start"":8728481,""stop"":8729066},"
Cp16,3L,8731944,8732599,"{""name"":""Cp16"",""chr"":""3L"",""start"":8731944,""stop"":8732599},"
Cp18,3L,8726791,8727613,"{""name"":""Cp18"",""chr"":""3L"",""start"":8726791,""stop"":8727613},"
Cp19,3L,8729865,8730604,"{""name"":""Cp19"",""chr"":""3L"",""start"":8729865,""stop"":8730604},"
Cp36,X,8479319,8480523,"{""name"":""Cp36"",""chr"":""X"",""start"":8479319,""stop"":8480523},"
Cp38,X,8481837,8483311,"{""name"":""Cp38"",""chr"":""X"",""start"":8481837,""stop"":8483311},"
crc,2L,21310866,21319527,"{""name"":""crc"",""chr"":""2L"",""start"":21310866,""stop"":21319527},"
crm,X,2734248,2738773,"{""name"":""crm"",""chr"":""X"",""start"":2734248,""stop"":2738773},"
crn,X,2247594,2249983,"{""name"":""crn"",""chr"":""X"",""start"":2247594,""stop"":2249983},"
csw,X,2094234,2115701,"{""name"":""csw"",""chr"":""X"",""start"":2094234,""stop"":2115701},"
cta,2L,22981816,22992951,"{""name"":""cta"",""chr"":""2L"",""start"":22981816,""stop"":22992951},"
cup,2L,6663664,6674780,"{""name"":""cup"",""chr"":""2L"",""start"":6663664,""stop"":6674780},"
cv,X,5690002,5693084,"{""name"":""cv"",""chr"":""X"",""start"":5690002,""stop"":5693084},"
cv-2,2R,21355015,21379464,"{""name"":""cv-2"",""chr"":""2R"",""start"":21355015,""stop"":21379464},"
CycA,3L,11826719,11833578,"{""name"":""CycA"",""chr"":""3L"",""start"":11826719,""stop"":11833578},"
CycB,2R,22803521,22806948,"{""name"":""CycB"",""chr"":""2R"",""start"":22803521,""stop"":22806948},"
Cyt-b5-r,2L,16788774,16790721,"{""name"":""Cyt-b5-r"",""chr"":""2L"",""start"":16788774,""stop"":16790721},"
D,3L,14175610,14178620,"{""name"":""D"",""chr"":""3L"",""start"":14175610,""stop"":14178620},"
D1,3R,9238083,9240654,"{""name"":""D1"",""chr"":""3R"",""start"":9238083,""stop"":9240654},"
Dab,3L,16712126,16724575,"{""name"":""Dab"",""chr"":""3L"",""start"":16712126,""stop"":16724575},"
Sap-r,3R,30883464,30889062,"{""name"":""Sap-r"",""chr"":""3R"",""start"":30883464,""stop"":30889062},"
Ddc,2L,19116483,19120306,"{""name"":""Ddc"",""chr"":""2L"",""start"":19116483,""stop"":19120306},"
SmF,2R,12183844,12184310,"{""name"":""SmF"",""chr"":""2R"",""start"":12183844,""stop"":12184310},"
dec,X,7867161,7873222,"{""name"":""dec"",""chr"":""X"",""start"":7867161,""stop"":7873222},"
Dfd,3R,6791836,6802428,"{""name"":""Dfd"",""chr"":""3R"",""start"":6791836,""stop"":6802428},"
Pkg21D,2L,786153,790798,"{""name"":""Pkg21D"",""chr"":""2L"",""start"":786153,""stop"":790798},"
Dhod,3R,8651391,8652916,"{""name"":""Dhod"",""chr"":""3R"",""start"":8651391,""stop"":8652916},"
Hr3,2R,10203995,10237348,"{""name"":""Hr3"",""chr"":""2R"",""start"":10203995,""stop"":10237348},"
dib,3L,4062292,4064551,"{""name"":""dib"",""chr"":""3L"",""start"":4062292,""stop"":4064551},"
ect,3L,10190276,10201837,"{""name"":""ect"",""chr"":""3L"",""start"":10190276,""stop"":10201837},"
Dip-B,3R,13782288,13785676,"{""name"":""Dip-B"",""chr"":""3R"",""start"":13782288,""stop"":13785676},"
Dip-C,3R,12411809,12413759,"{""name"":""Dip-C"",""chr"":""3R"",""start"":12411809,""stop"":12413759},"
disco,X,16210598,16216750,"{""name"":""disco"",""chr"":""X"",""start"":16210598,""stop"":16216750},"
Dl,3R,19302731,19326217,"{""name"":""Dl"",""chr"":""3R"",""start"":19302731,""stop"":19326217},"
Lar,2L,19586623,19732069,"{""name"":""Lar"",""chr"":""2L"",""start"":19586623,""stop"":19732069},"
Cyp6a2,2R,6779749,6781491,"{""name"":""Cyp6a2"",""chr"":""2R"",""start"":6779749,""stop"":6781491},"
DNaseII,3R,18019375,18021161,"{""name"":""DNaseII"",""chr"":""3R"",""start"":18019375,""stop"":18021161},"
dnc,X,3176440,3343767,"{""name"":""dnc"",""chr"":""X"",""start"":3176440,""stop"":3343767},"
dor,X,1665052,1668451,"{""name"":""dor"",""chr"":""X"",""start"":1665052,""stop"":1668451},"
Pka-C3,3L,15925805,15954797,"{""name"":""Pka-C3"",""chr"":""3L"",""start"":15925805,""stop"":15954797},"
dpp,2L,2428372,2459823,"{""name"":""dpp"",""chr"":""2L"",""start"":2428372,""stop"":2459823},"
Dr,3R,29556386,29565244,"{""name"":""Dr"",""chr"":""3R"",""start"":29556386,""stop"":29565244},"
dsh,X,11355881,11358724,"{""name"":""dsh"",""chr"":""X"",""start"":11355881,""stop"":11358724},"
Dsk,3R,4189692,4190260,"{""name"":""Dsk"",""chr"":""3R"",""start"":4189692,""stop"":4190260},"
dsx,3R,7924323,7967408,"{""name"":""dsx"",""chr"":""3R"",""start"":7924323,""stop"":7967408},"
dwg,X,2727698,2730042,"{""name"":""dwg"",""chr"":""X"",""start"":2727698,""stop"":2730042},"
dx,X,6533999,6538575,"{""name"":""dx"",""chr"":""X"",""start"":6533999,""stop"":6538575},"
e,3R,21229839,21237177,"{""name"":""e"",""chr"":""3R"",""start"":21229839,""stop"":21237177},"
bsh,2L,19765776,19769067,"{""name"":""bsh"",""chr"":""2L"",""start"":19765776,""stop"":19769067},"
ea,3R,15328729,15330408,"{""name"":""ea"",""chr"":""3R"",""start"":15328729,""stop"":15330408},"
eag,X,14955477,15009989,"{""name"":""eag"",""chr"":""X"",""start"":14955477,""stop"":15009989},"
eas,X,16278328,16285618,"{""name"":""eas"",""chr"":""X"",""start"":16278328,""stop"":16285618},"
E(bx),3L,233926,246912,"{""name"":""E(bx)"",""chr"":""3L"",""start"":233926,""stop"":246912},"
ec,X,3811698,3857621,"{""name"":""ec"",""chr"":""X"",""start"":3811698,""stop"":3857621},"
ecd,3L,2263581,2265857,"{""name"":""ecd"",""chr"":""3L"",""start"":2263581,""stop"":2265857},"
EcR,2R,6087873,6169087,"{""name"":""EcR"",""chr"":""2R"",""start"":6087873,""stop"":6169087},"
ed,2L,4031377,4115749,"{""name"":""ed"",""chr"":""2L"",""start"":4031377,""stop"":4115749},"
Edg78E,3L,21296763,21297803,"{""name"":""Edg78E"",""chr"":""3L"",""start"":21296763,""stop"":21297803},"
Edg84A,3R,6684445,6685157,"{""name"":""Edg84A"",""chr"":""3R"",""start"":6684445,""stop"":6685157},"
eEF1alpha2,3R,31738468,31743306,"{""name"":""eEF1alpha2"",""chr"":""3R"",""start"":31738468,""stop"":31743306},"
eEF2,2L,21677913,21682164,"{""name"":""eEF2"",""chr"":""2L"",""start"":21677913,""stop"":21682164},"
eg,3L,21808703,21817600,"{""name"":""eg"",""chr"":""3L"",""start"":21808703,""stop"":21817600},"
egl,2R,23734904,23746829,"{""name"":""egl"",""chr"":""2R"",""start"":23734904,""stop"":23746829},"
Eh,3R,17446642,17448858,"{""name"":""Eh"",""chr"":""3R"",""start"":17446642,""stop"":17448858},"
MsrA,3L,15511052,15513202,"{""name"":""MsrA"",""chr"":""3L"",""start"":15511052,""stop"":15513202},"
Cth,2R,18627918,18629395,"{""name"":""Cth"",""chr"":""2R"",""start"":18627918,""stop"":18629395},"
Eip74EF,3L,17558672,17619325,"{""name"":""Eip74EF"",""chr"":""3L"",""start"":17558672,""stop"":17619325},"
Eip75B,3L,17950953,18064696,"{""name"":""Eip75B"",""chr"":""3L"",""start"":17950953,""stop"":18064696},"
emc,3L,749400,753492,"{""name"":""emc"",""chr"":""3L"",""start"":749400,""stop"":753492},"
ems,3R,13901853,13904620,"{""name"":""ems"",""chr"":""3R"",""start"":13901853,""stop"":13904620},"
en,2R,11524006,11528210,"{""name"":""en"",""chr"":""2R"",""start"":11524006,""stop"":11528210},"
ena,2R,19141632,19163705,"{""name"":""ena"",""chr"":""2R"",""start"":19141632,""stop"":19163705},"
Eno,2L,1724768,1729636,"{""name"":""Eno"",""chr"":""2L"",""start"":1724768,""stop"":1729636},"
E(Pc),2R,11452043,11465270,"{""name"":""E(Pc)"",""chr"":""2R"",""start"":11452043,""stop"":11465270},"
esc,2L,11827204,11829405,"{""name"":""esc"",""chr"":""2L"",""start"":11827204,""stop"":11829405},"
E(spl)m8-HLH,3R,26040240,26041008,"{""name"":""E(spl)m8-HLH"",""chr"":""3R"",""start"":26040240,""stop"":26041008},"
Est-6,3L,12188818,12190705,"{""name"":""Est-6"",""chr"":""3L"",""start"":12188818,""stop"":12190705},"
Est-P,3L,12190733,12192528,"{""name"":""Est-P"",""chr"":""3L"",""start"":12190733,""stop"":12192528},"
eve,2R,9979319,9980795,"{""name"":""eve"",""chr"":""2R"",""start"":9979319,""stop"":9980795},"
exd,X,15992468,15996509,"{""name"":""exd"",""chr"":""X"",""start"":15992468,""stop"":15996509},"
exu,2R,20667427,20671083,"{""name"":""exu"",""chr"":""2R"",""start"":20667427,""stop"":20671083},"
Taf9,X,17842161,17843348,"{""name"":""Taf9"",""chr"":""X"",""start"":17842161,""stop"":17843348},"
e(y)2,X,11576118,11576620,"{""name"":""e(y)2"",""chr"":""X"",""start"":11576118,""stop"":11576620},"
eyg,3L,12462537,12468021,"{""name"":""eyg"",""chr"":""3L"",""start"":12462537,""stop"":12468021},"
E(z),3L,10634575,10638130,"{""name"":""E(z)"",""chr"":""3L"",""start"":10634575,""stop"":10638130},"
tei,2R,13623044,13749367,"{""name"":""tei"",""chr"":""2R"",""start"":13623044,""stop"":13749367},"
Fas2,X,4132887,4206093,"{""name"":""Fas2"",""chr"":""X"",""start"":4132887,""stop"":4206093},"
Fas3,2L,18320102,18393441,"{""name"":""Fas3"",""chr"":""2L"",""start"":18320102,""stop"":18393441},"
Fbp1,3L,14094589,14098053,"{""name"":""Fbp1"",""chr"":""3L"",""start"":14094589,""stop"":14098053},"
Fbp2,2L,9426784,9427917,"{""name"":""Fbp2"",""chr"":""2L"",""start"":9426784,""stop"":9427917},"
Fcp3C,X,3173376,3174474,"{""name"":""Fcp3C"",""chr"":""X"",""start"":3173376,""stop"":3174474},"
fj,2R,18232761,18236311,"{""name"":""fj"",""chr"":""2R"",""start"":18232761,""stop"":18236311},"
fkh,3R,28580976,28585264,"{""name"":""fkh"",""chr"":""3R"",""start"":28580976,""stop"":28585264},"
fl(2)d,2R,13819624,13824553,"{""name"":""fl(2)d"",""chr"":""2R"",""start"":13819624,""stop"":13824553},"
Actn,X,2023822,2042311,"{""name"":""Actn"",""chr"":""X"",""start"":2023822,""stop"":2042311},"
fliI,X,21339741,21345088,"{""name"":""fliI"",""chr"":""X"",""start"":21339741,""stop"":21345088},"
flw,X,10385960,10409817,"{""name"":""flw"",""chr"":""X"",""start"":10385960,""stop"":10409817},"
FMRFa,2R,9906294,9910457,"{""name"":""FMRFa"",""chr"":""2R"",""start"":9906294,""stop"":9910457},"
fog,X,22824317,22855194,"{""name"":""fog"",""chr"":""X"",""start"":22824317,""stop"":22855194},"
for,2L,3622074,3656953,"{""name"":""for"",""chr"":""2L"",""start"":3622074,""stop"":3656953},"
FER,3R,9367603,9394546,"{""name"":""FER"",""chr"":""3R"",""start"":9367603,""stop"":9394546},"
gd,X,11985154,11987764,"{""name"":""gd"",""chr"":""X"",""start"":11985154,""stop"":11987764},"
fs(1)K10,X,2242138,2246041,"{""name"":""fs(1)K10"",""chr"":""X"",""start"":2242138,""stop"":2246041},"
png,X,1356488,1357601,"{""name"":""png"",""chr"":""X"",""start"":1356488,""stop"":1357601},"
fs(1)Ya,X,2724286,2726577,"{""name"":""fs(1)Ya"",""chr"":""X"",""start"":2724286,""stop"":2726577},"
fs(1)Yb,X,2720468,2724158,"{""name"":""fs(1)Yb"",""chr"":""X"",""start"":2720468,""stop"":2724158},"
tj,2L,19464267,19467758,"{""name"":""tj"",""chr"":""2L"",""start"":19464267,""stop"":19467758},"
dup,2R,15376619,15380988,"{""name"":""dup"",""chr"":""2R"",""start"":15376619,""stop"":15380988},"
ft,2L,4198404,4221796,"{""name"":""ft"",""chr"":""2L"",""start"":4198404,""stop"":4221796},"
ftz,3R,6864324,6866244,"{""name"":""ftz"",""chr"":""3R"",""start"":6864324,""stop"":6866244},"
ftz-f1,3L,18750607,18801309,"{""name"":""ftz-f1"",""chr"":""3L"",""start"":18750607,""stop"":18801309},"
fu,X,18657755,18661204,"{""name"":""fu"",""chr"":""X"",""start"":18657755,""stop"":18661204},"
fw,X,11992915,12003914,"{""name"":""fw"",""chr"":""X"",""start"":11992915,""stop"":12003914},"
fy,2L,8401476,8403280,"{""name"":""fy"",""chr"":""2L"",""start"":8401476,""stop"":8403280},"
fz,3L,14274343,14368639,"{""name"":""fz"",""chr"":""3L"",""start"":14274343,""stop"":14368639},"
fzy,2L,16310956,16313097,"{""name"":""fzy"",""chr"":""2L"",""start"":16310956,""stop"":16313097},"
g,X,13727204,13736278,"{""name"":""g"",""chr"":""X"",""start"":13727204,""stop"":13736278},"
Gal,2L,6003574,6006827,"{""name"":""Gal"",""chr"":""2L"",""start"":6003574,""stop"":6006827},"
bnb,X,18794246,18797687,"{""name"":""bnb"",""chr"":""X"",""start"":18794246,""stop"":18797687},"
Gapdh1,2R,7791901,7793380,"{""name"":""Gapdh1"",""chr"":""2R"",""start"":7791901,""stop"":7793380},"
Gapdh2,X,15868145,15869661,"{""name"":""Gapdh2"",""chr"":""X"",""start"":15868145,""stop"":15869661},"
Gdh,3R,23935958,23943101,"{""name"":""Gdh"",""chr"":""3R"",""start"":23935958,""stop"":23943101},"
gdl,3L,15509445,15511047,"{""name"":""gdl"",""chr"":""3L"",""start"":15509445,""stop"":15511047},"
Galphai,3L,6972750,6980044,"{""name"":""Galphai"",""chr"":""3L"",""start"":6972750,""stop"":6980044},"
Gbeta13F,X,15860115,15866175,"{""name"":""Gbeta13F"",""chr"":""X"",""start"":15860115,""stop"":15866175},"
DCTN1-p150,3L,13929387,13934656,"{""name"":""DCTN1-p150"",""chr"":""3L"",""start"":13929387,""stop"":13934656},"
Gld,3R,7252063,7265703,"{""name"":""Gld"",""chr"":""3R"",""start"":7252063,""stop"":7265703},"
Glt,2L,8672698,8676804,"{""name"":""Glt"",""chr"":""2L"",""start"":8672698,""stop"":8676804},"
gnu,3L,14802380,14803360,"{""name"":""gnu"",""chr"":""3L"",""start"":14802380,""stop"":14803360},"
Galphao,2R,10437985,10465701,"{""name"":""Galphao"",""chr"":""2R"",""start"":10437985,""stop"":10465701},"
Galphas,2R,23942538,23946936,"{""name"":""Galphas"",""chr"":""2R"",""start"":23942538,""stop"":23946936},"
Got1,2R,16138352,16141928,"{""name"":""Got1"",""chr"":""2R"",""start"":16138352,""stop"":16141928},"
Got2,2L,1984512,1987758,"{""name"":""Got2"",""chr"":""2L"",""start"":1984512,""stop"":1987758},"
Gpdh1,2L,5943643,5948968,"{""name"":""Gpdh1"",""chr"":""2L"",""start"":5943643,""stop"":5948968},"
